station_id,timestamp,latitude,longitude,temperature_c,humidity_pct,precipitation,wind_direction_deg,wind_speed_ms
0-356-1-0103120124929824,2026-08-23 04:00:00+00:00,12.0124,92.9824,28.2,80.0,,179.0,1.0
0-356-1-0103120124929824,2026-08-23 04:15:00+00:00,12.0124,92.9824,28.9,76.0,,164.0,2.0
0-356-1-0103120124929824,2026-08-23 04:30:00+00:00,12.0124,92.9824,29.3,75.0,,287.0,2.0
0-356-1-0103120124929824,2026-08-23 04:45:00+00:00,12.0124,92.9824,29.2,73.0,,172.0,3.0
0-356-1-0103120124929824,2026-08-23 05:00:00+00:00,12.0124,92.9824,28.9,75.0,,203.0,3.0
0-356-1-0103120124929824,2026-08-23 05:15:00+00:00,12.0124,92.9824,27.8,81.0,,208.0,2.0
0-356-1-0103120124929824,2026-08-23 05:30:00+00:00,12.0124,92.9824,28.9,76.0,,218.0,2.0
0-356-1-0225165449814932,2026-08-23 04:00:00+00:00,16.5449,81.4932,19.2,89.0,,271.0,5.0
0-356-1-0225165449814932,2026-08-23 04:15:00+00:00,16.5449,81.4932,19.7,88.0,,287.0,4.0
0-356-1-0225165449814932,2026-08-23 04:30:00+00:00,16.5449,81.4932,16.6,88.0,,282.0,5.0
0-356-1-0225165449814932,2026-08-23 04:45:00+00:00,16.5449,81.4932,16.2,87.0,,285.0,4.0
0-356-1-0225165449814932,2026-08-23 05:00:00+00:00,16.5449,81.4932,17.8,86.0,,290.0,4.0
0-356-1-0225165449814932,2026-08-23 05:15:00+00:00,16.5449,81.4932,,86.0,,280.0,5.0
0-356-1-0225165449814932,2026-08-23 05:30:00+00:00,16.5449,81.4932,14.7,85.0,,249.0,5.0
0-356-1-0403264689909000,2026-08-23 04:00:00+00:00,26.4689,90.9,31.2,78.0,,65.0,1.0
0-356-1-0403264689909000,2026-08-23 04:15:00+00:00,26.4689,90.9,31.2,78.0,,112.0,2.0
0-356-1-0403264689909000,2026-08-23 04:30:00+00:00,26.4689,90.9,31.7,78.0,,208.0,1.0
0-356-1-0403264689909000,2026-08-23 05:00:00+00:00,26.4689,90.9,31.5,76.0,,,0.0
0-356-1-0403264689909000,2026-08-23 05:15:00+00:00,26.4689,90.9,31.0,76.0,,99.0,2.0
0-356-1-0403264689909000,2026-08-23 05:30:00+00:00,26.4689,90.9,28.9,76.0,,338.0,1.0
0-356-1-0408265296905018,2026-08-23 04:00:00+00:00,26.5296,90.5018,32.7,,,124.0,3.0
0-356-1-0408265296905018,2026-08-23 04:15:00+00:00,26.5296,90.5018,32.0,,,65.0,5.0
0-356-1-0408265296905018,2026-08-23 04:30:00+00:00,26.5296,90.5018,32.1,,,98.0,3.0
0-356-1-0408265296905018,2026-08-23 04:45:00+00:00,26.5296,90.5018,31.7,,,98.0,3.0
0-356-1-0408265296905018,2026-08-23 05:00:00+00:00,26.5296,90.5018,31.5,,,64.0,2.0
