time,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco
2025-01-01 00:00:00,10.4,92,0.0,,268,3.6,,1019.2,,2,5
2025-01-01 01:00:00,8.4,94,0.0,,261,3.7,,1019.5,,6,5
2025-01-01 02:00:00,8.8,92,0.0,,257,5.5,,1019.7,,6,5
2025-01-01 03:00:00,10.0,87,0.0,,270,5.4,,1020.2,,2,5
2025-01-01 04:00:00,10.9,83,0.0,,272,5.5,,1020.2,,2,5
2025-01-01 05:00:00,11.7,80,0.0,,274,7.4,,1020.3,,2,5
2025-01-01 06:00:00,13.0,73,0.0,,270,3.6,,1020.9,,2,5
2025-01-01 07:00:00,14.0,70,0.0,,277,9.3,,1019.2,,2,5
2025-01-01 08:00:00,15.5,64,0.0,,278,9.3,,1018.2,,2,5
2025-01-01 09:00:00,14.8,70,0.0,,270,5.4,,1017.9,,3,5
2025-01-01 10:00:00,14.7,72,0.0,,269,5.5,,1017.5,,3,5
2025-01-01 11:00:00,14.5,73,0.0,,267,5.5,,1017.2,,3,5
2025-01-01 12:00:00,13.0,84,0.0,,250,7.6,,1017.8,,2,5
2025-01-01 13:00:00,13.4,80,0.0,,264,5.5,,1017.5,,2,5
2025-01-01 14:00:00,12.4,86,0.0,,263,3.7,,1018.2,,2,5
2025-01-01 15:00:00,10.2,95,0.0,,0,0.0,,1019.6,,2,5
2025-01-01 16:00:00,10.7,94,0.0,,260,1.8,,1019.2,,0,5
2025-01-01 17:00:00,10.3,96,0.0,,262,1.8,,1019.2,,1,5
2025-01-01 18:00:00,8.4,100,0.0,,0,0.0,,1019.6,,1,5
2025-01-01 19:00:00,9.7,97,0.0,,266,1.8,,1018.9,,1,5
2025-01-01 20:00:00,9.3,99,0.0,,269,3.7,,1018.5,,2,5
2025-01-01 21:00:00,10.0,95,0.0,,0,0.0,,1017.9,,2,5
2025-01-01 22:00:00,9.3,98,0.0,,267,1.8,,1017.8,,2,5
2025-01-01 23:00:00,8.8,100,0.0,,267,1.8,,1017.6,,2,5
2025-01-02 00:00:00,10.0,95,0.0,,250,7.6,,1017.5,,2,5
2025-01-02 01:00:00,8.6,100,0.0,,258,5.5,,1018.1,,3,5
2025-01-02 02:00:00,9.0,98,0.0,,252,5.5,,1018.6,,3,5
2025-01-02 03:00:00,9.0,100,0.0,,250,5.4,,1019.5,,4,5
2025-01-02 04:00:00,10.7,90,0.0,,258,5.5,,1019.6,,7,5
2025-01-02 05:00:00,12.5,81,0.0,,266,7.4,,1019.7,,5,5
2025-01-02 06:00:00,12.6,81,0.0,,250,7.6,,1020.8,,4,5
2025-01-02 07:00:00,15.6,68,0.0,,282,7.4,,1018.8,,4,5
2025-01-02 08:00:00,17.0,63,0.0,,289,9.3,,1017.8,,4,5
2025-01-02 09:00:00,15.6,69,0.0,,250,7.6,,1017.9,,3,5
2025-01-02 10:00:00,15.5,71,0.0,,248,7.4,,1017.5,,3,5
2025-01-02 11:00:00,15.4,73,0.0,,246,7.4,,1017.1,,4,5
